video_id,frame_num,crowd_density,crowd_count,loitering,low_concealment,med_concealment,high_concealment,rbp
anomaly_cam_trimmed_01.mp4,1,9,9,60,29,94,69,0
anomaly_cam_trimmed_01.mp4,2,80,88,99,31,28,44,0
anomaly_cam_trimmed_01.mp4,3,55,26,50,81,23,62,0
anomaly_cam_trimmed_01.mp4,4,100,23,40,87,48,27,1
anomaly_cam_trimmed_01.mp4,5,59,91,1,27,94,40,0
anomaly_cam_trimmed_01.mp4,6,76,97,6,25,21,91,0
anomaly_cam_trimmed_01.mp4,7,8,9,71,95,55,4,0
anomaly_cam_trimmed_01.mp4,8,56,34,26,89,45,57,1
anomaly_cam_trimmed_01.mp4,9,99,9,10,68,80,85,0
anomaly_cam_trimmed_01.mp4,10,48,61,25,30,37,47,0
anomaly_cam_trimmed_01.mp4,11,38,83,10,38,89,77,1
anomaly_cam_trimmed_01.mp4,12,34,13,34,13,67,86,1
anomaly_cam_trimmed_01.mp4,13,92,48,97,6,67,92,0
anomaly_cam_trimmed_01.mp4,14,85,79,6,32,91,53,0
anomaly_cam_trimmed_01.mp4,15,84,78,86,19,55,83,0
anomaly_cam_trimmed_01.mp4,16,32,22,45,50,7,12,1
anomaly_cam_trimmed_01.mp4,17,25,45,57,82,34,20,0
anomaly_cam_trimmed_01.mp4,18,57,68,100,31,40,79,1
anomaly_cam_trimmed_01.mp4,19,73,61,20,81,41,70,0
anomaly_cam_trimmed_01.mp4,20,19,92,8,74,39,4,1
anomaly_cam_trimmed_01.mp4,21,63,54,96,22,36,55,0
anomaly_cam_trimmed_01.mp4,22,42,24,50,49,45,84,0
anomaly_cam_trimmed_01.mp4,23,13,64,71,90,62,72,0
anomaly_cam_trimmed_01.mp4,24,8,45,69,38,63,50,1
anomaly_cam_trimmed_01.mp4,25,10,16,44,55,90,34,1
anomaly_cam_trimmed_01.mp4,26,92,98,93,46,20,78,1
anomaly_cam_trimmed_01.mp4,27,57,32,18,63,61,28,0
anomaly_cam_trimmed_01.mp4,28,22,41,35,34,15,86,0
anomaly_cam_trimmed_01.mp4,29,76,52,61,68,77,72,0
anomaly_cam_trimmed_01.mp4,30,17,69,62,39,51,11,0
anomaly_cam_trimmed_01.mp4,31,77,71,81,31,17,30,1
anomaly_cam_trimmed_01.mp4,32,33,62,85,77,49,91,0
anomaly_cam_trimmed_01.mp4,33,5,5,72,49,93,41,1
