video_id,frame_num,crowd_density,loitering,no_concealment,low_concealment,med_concealment,high_concealment,rbp
anomaly_01.mp4,6,0.0,-1,0,0,0,0,1
anomaly_01.mp4,12,0.0,-1,0,0,0,0,1
anomaly_01.mp4,18,0.0,-1,0,0,0,0,1
anomaly_01.mp4,24,0.0,-1,0,0,0,0,1
anomaly_01.mp4,30,0.0,-1,0,0,0,0,1
anomaly_01.mp4,36,0.0,-1,0,0,0,0,1
anomaly_01.mp4,42,0.0,-1,0,0,0,0,1
anomaly_01.mp4,48,0.0,-1,0,0,0,0,1
anomaly_01.mp4,54,0.0,-1,0,0,0,0,1
anomaly_01.mp4,60,0.39349379548430835,0.0,1,0,0,0,1
anomaly_01.mp4,66,0.39004765100457917,0.0,1,0,0,0,1
anomaly_01.mp4,72,0.3878291203363915,0.0,1,0,0,0,1
anomaly_01.mp4,78,0.4165829760836459,0.0,1,0,0,0,1
anomaly_01.mp4,84,0.42000759836810175,0.0,1,0,0,0,1
anomaly_01.mp4,90,0.4275630520278355,0.0,1,0,0,0,1
anomaly_01.mp4,96,0.41157515400224537,0.0,1,0,0,0,1
anomaly_01.mp4,102,0.4242874548143997,0.0,1,0,0,0,1
anomaly_01.mp4,108,0.39798277808245075,0.0,1,0,0,0,1
anomaly_01.mp4,114,0.36140536364518994,0.0,1,0,0,0,1
anomaly_01.mp4,120,0.0,0.0,0,0,0,0,1
anomaly_01.mp4,126,0.36545403375339447,4.5,1,0,0,0,1
anomaly_01.mp4,132,0.3553096400432878,4.0,1,0,0,0,1
anomaly_01.mp4,138,0.3793756551203842,3.5,1,0,0,0,1
anomaly_01.mp4,144,0.40503307886941303,3.0,1,0,0,0,1
anomaly_01.mp4,150,0.4309548999826802,2.5,1,0,0,0,1
anomaly_01.mp4,156,0.4822533041819952,2.0,1,0,0,0,1
anomaly_01.mp4,162,0.4807400587302861,1.5,1,0,0,0,1
anomaly_01.mp4,168,0.47042968305504473,1.0,1,0,0,0,1
anomaly_01.mp4,174,0.46834957192534904,0.5,1,0,0,0,1
